Sp.Scien.jetz;Sp.Eng.jetz;Sp.Scien.hbw;Sp.Eng.hbw;Match_jetz_birdlife;Order;strategy_3;distance_4;distance_quanti_RES0;distance_quanti_ALL
Abeillia_abeillei;Emerald-chinned-Hummingbird;Abeillia_abeillei;Emerald-chinned-Hummingbird;Abeillia_abeillei;CAPRIMULGIFORMES;resident;resident;0;130,3288525
Abroscopus_albogularis;Rufous-faced-Warbler;Abroscopus_albogularis;Rufous-faced-Warbler;Abroscopus_albogularis;PASSERIFORMES;resident;resident;0;407,6157808
Abroscopus_schisticeps;Black-faced-Warbler;Abroscopus_schisticeps;Black-faced-Warbler;Abroscopus_schisticeps;PASSERIFORMES;resident;resident;0;299,7697039
Abroscopus_superciliaris;Yellow-bellied-Warbler;Abroscopus_superciliaris;Yellow-bellied-Warbler;Abroscopus_superciliaris;PASSERIFORMES;resident;resident;0;612,8120837
Aburria_aburri;Wattled-Guan;Aburria_aburri;Wattled-Guan;Aburria_aburri;GALLIFORMES;resident;resident;0;259,1804769
Acanthagenys_rufogularis;Spiny-cheeked-Honeyeater;Acanthagenys_rufogularis;Spiny-cheeked-Honeyeater;Acanthagenys_rufogularis;PASSERIFORMES;resident;resident;0;617,3708171
Acanthidops_bairdii;Peg-billed-Finch;Acanthidops_bairdi;Peg-billed-Finch;Acanthidops_bairdi;PASSERIFORMES;resident;resident;0;36,52578609
Acanthisitta_chloris;Rifleman;Acanthisitta_chloris;Rifleman;Acanthisitta_chloris;PASSERIFORMES;resident;resident;0;148,712775
Acanthiza_apicalis;Inland-Thornbill;Acanthiza_apicalis;Inland-Thornbill;Acanthiza_apicalis;PASSERIFORMES;resident;resident;0;537,0320913
Acanthiza_chrysorrhoa;Yellow-rumped-Thornbill;Acanthiza_chrysorrhoa;Yellow-rumped-Thornbill;Acanthiza_chrysorrhoa;PASSERIFORMES;resident;resident;0;596,729545
Acanthiza_ewingii;Tasmanian-Thornbill;Acanthiza_ewingii;Tasmanian-Thornbill;Acanthiza_ewingii;PASSERIFORMES;resident;resident;0;78,2861111
Acanthiza_inornata;Western-Thornbill;Acanthiza_inornata;Western-Thornbill;Acanthiza_inornata;PASSERIFORMES;resident;resident;0;100,1878777
Acanthiza_iredalei;Slender-billed-Thornbill;Acanthiza_iredalei;Slender-billed-Thornbill;Acanthiza_iredalei;PASSERIFORMES;resident;resident;0;324,2221011
Acanthiza_katherina;Mountain-Thornbill;Acanthiza_katherina;Mountain-Thornbill;Acanthiza_katherina;PASSERIFORMES;resident;resident;0;65,61696499
Acanthiza_lineata;Striated-Thornbill;Acanthiza_lineata;Striated-Thornbill;Acanthiza_lineata;PASSERIFORMES;resident;resident;0;279,0660453
Acanthiza_murina;Papuan-Thornbill;Acanthiza_murina;Papuan-Thornbill;Acanthiza_murina;PASSERIFORMES;resident;resident;0;123,5483016
Acanthiza_nana;Yellow-Thornbill;Acanthiza_nana;Yellow-Thornbill;Acanthiza_nana;PASSERIFORMES;resident;resident;0;368,1063928
Acanthiza_pusilla;Brown-Thornbill;Acanthiza_pusilla;Brown-Thornbill;Acanthiza_pusilla;PASSERIFORMES;resident;resident;0;306,5547607
Acanthiza_reguloides;Buff-rumped-Thornbill;Acanthiza_reguloides;Buff-rumped-Thornbill;Acanthiza_reguloides;PASSERIFORMES;resident;resident;0;356,2350559
Acanthiza_robustirostris;Slaty-backed-Thornbill;Acanthiza_robustirostris;Slaty-backed-Thornbill;Acanthiza_robustirostris;PASSERIFORMES;resident;resident;0;382,3198733
Acanthiza_uropygialis;Chestnut-rumped-Thornbill;Acanthiza_uropygialis;Chestnut-rumped-Thornbill;Acanthiza_uropygialis;PASSERIFORMES;resident;resident;0;560,8076782
Acanthorhynchus_superciliosus;Western-Spinebill;Acanthorhynchus_superciliosus;Western-Spinebill;Acanthorhynchus_superciliosus;PASSERIFORMES;resident;resident;0;122,2326512
Acanthorhynchus_tenuirostris;Eastern-Spinebill;Acanthorhynchus_tenuirostris;Eastern-Spinebill;Acanthorhynchus_tenuirostris;PASSERIFORMES;resident;resident;0;314,4485565
Acanthornis_magna;Scrubtit;Acanthornis_magna;Scrubtit;Acanthornis_magna;PASSERIFORMES;resident;resident;0;67,96887374
Accipiter_albogularis;Pied-Goshawk;Accipiter_albogularis;Pied-Goshawk;Accipiter_albogularis;ACCIPITRIFORMES;resident;resident;0;129,033245
Accipiter_badius;Shikra;Accipiter_badius;Shikra;Accipiter_badius;ACCIPITRIFORMES;partial_mig;variable;2360,338633;2360,338633
Accipiter_bicolor;Bicoloured-Hawk;Accipiter_bicolor;Bicolored-Hawk;Accipiter_bicolor;ACCIPITRIFORMES;resident;resident;0;1037,239937
Accipiter_brachyurus;New-Britain-Sparrowhawk;Accipiter_brachyurus;New-Britain-Sparrowhawk;Accipiter_brachyurus;ACCIPITRIFORMES;resident;resident;0;66,48118734
Accipiter_brevipes;Levant-Sparrowhawk;Accipiter_brevipes;Levant-Sparrowhawk;Accipiter_brevipes;ACCIPITRIFORMES;strict_mig;long;3284,876889;3284,876889
Accipiter_butleri;Nicobar-Sparrowhawk;Accipiter_butleri;Nicobar-Sparrowhawk;Accipiter_butleri;ACCIPITRIFORMES;resident;resident;0;18,37313588
Accipiter_castanilius;Chestnut-flanked-Sparrowhawk;Accipiter_castanilius;Chestnut-flanked-Sparrowhawk;Accipiter_castanilius;ACCIPITRIFORMES;resident;resident;0;397,9502077
Accipiter_chionogaster;White-breasted-Hawk;Accipiter_striatus;Sharp-shinned-Hawk;Accipiter_striatus;ACCIPITRIFORMES;partial_mig;variable;2003,129638;2003,129638
Accipiter_cirrocephalus;Collared-Sparrowhawk;Accipiter_cirrocephalus;Collared-Sparrowhawk;Accipiter_cirrocephalus;ACCIPITRIFORMES;resident;resident;0;808,4407984
Accipiter_collaris;Semicollared-Hawk;Accipiter_collaris;Semi-collared-Hawk;Accipiter_collaris;ACCIPITRIFORMES;resident;resident;0;221,9331655
Accipiter_cooperii;Coopers-Hawk;Accipiter_cooperii;Coopers-Hawk;Accipiter_cooperii;ACCIPITRIFORMES;partial_mig;variable;1168,841528;1168,841528
Accipiter_erythrauchen;Rufous-necked-Sparrowhawk;Accipiter_erythrauchen;Rufous-necked-Sparrowhawk;Accipiter_erythrauchen;ACCIPITRIFORMES;resident;resident;0;104,5939651
Accipiter_erythropus;Red-thighed-Sparrowhawk;Accipiter_erythropus;Red-legged-Sparrowhawk;Accipiter_erythropus;ACCIPITRIFORMES;resident;resident;0;560,8851125
Accipiter_fasciatus;Brown-Goshawk;Accipiter_fasciatus;Brown-Goshawk;Accipiter_fasciatus;ACCIPITRIFORMES;resident;resident;0;770,941866
Accipiter_francesiae;Francess-Sparrowhawk;Accipiter_francesiae;Francess-Sparrowhawk;Accipiter_francesiae;ACCIPITRIFORMES;resident;resident;0;209,2961383
Accipiter_gentilis;Northern-Goshawk;Accipiter_gentilis;Northern-Goshawk;Accipiter_gentilis;ACCIPITRIFORMES;partial_mig;short;2094,961217;2094,961217
Accipiter_griseiceps;Sulawesi-Goshawk;Accipiter_griseiceps;Sulawesi-Goshawk;Accipiter_griseiceps;ACCIPITRIFORMES;resident;resident;0;144,4441989
